#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_v2_kernel
135,00007ee3 71460560,"@P5   IMAD.MOV.U32 R4, RZ, RZ, 0x4000",42,4,16384,,,,,,,,,
136,00007ee3 71460570,"      MOV R5, UR7",43,3,16384,,,,,,,,,
137,00007ee3 71460580,"      UIADD3 UR7, UR11, 0x80, URZ",43,4,16384,,,,,,,,,
138,00007ee3 71460590,"@P2   R2UR UR22, R6",43,0,16384,,,,,,,,,
139,00007ee3 714605a0,"      IMAD.U32 R8, RZ, RZ, UR10",43,1,16384,,,,,,,,,
140,00007ee3 714605b0,"@UP3  UMOV UR10, URZ",43,1,16384,,,,,,,,,
141,00007ee3 714605c0,"@P1   R2UR UR21, R5",43,2,16384,,,,,,,,,
142,00007ee3 714605d0,"      IMAD.MOV.U32 R5, RZ, RZ, 0x3f800000",43,2,16384,,,,,,,,,
143,00007ee3 714605e0,"@P2   R2UR UR23, R7",43,4,16384,,,,,,,,,
144,00007ee3 714605f0,"@!UP5 SYNCS.EXCH.64 URZ, [UR25+0x1c008], UR28",42,3,16384,,,,,,,,,
145,00007ee3 71460600,      BAR.SYNC.DEFER_BLOCKING 0x0,42,49,16384,,,,,,,,,
146,00007ee3 71460610,"@P3   R2UR UR36, R8",42,3,16384,,,,,,,,,
147,00007ee3 71460620,"@P3   R2UR UR37, R9",41,2,16384,,,,,,,,,
148,00007ee3 71460630,"      MOV R45, 0xff800000",41,6,16384,,,,,,,,,
149,00007ee3 71460640,"      VOTEU.ANY UP5, P1",41,32,16384,,,,,,,,,
150,00007ee3 71460650,"@UP5  UIADD3 UR16, UR25, 0xc000, URZ",41,13,16384,,,,,,,,,
151,00007ee3 71460660,"@UP5  UIADD3 UR17, UR25, 0x1c020, URZ",41,10,16384,,,,,,,,,
152,00007ee3 71460670,"@UP5  UMOV UR18, URZ",41,3,16384,,,,,,,,,
153,00007ee3 71460680,"@!UP6 SYNCS.EXCH.64 URZ, [UR25+0x1c010], UR30",41,1,16384,,,,,,,,,
154,00007ee3 71460690,"      VOTEU.ANY UP6, P1",41,1,16384,,,,,,,,,
155,00007ee3 714606a0,"      UMOV UR31, UR7",41,10,16384,,,,,,,,,
156,00007ee3 714606b0,"@!UP0 SYNCS.EXCH.64 URZ, [UR25+0x1c020], UR32",41,0,16384,,,,,,,,,
157,00007ee3 714606c0,      BAR.SYNC.DEFER_BLOCKING 0x0,41,86,16384,,,,,,,,,
158,00007ee3 714606d0,"      VOTEU.ANY UP0, P2",41,53,16384,,,,,,,,,
159,00007ee3 714606e0,"@UP0  UMOV UR6, URZ",41,13,16384,,,,,,,,,
160,00007ee3 714606f0,"@!UP1 SYNCS.EXCH.64 URZ, [UR25+0x1c028], UR34",41,4,16384,,,,,,,,,
161,00007ee3 71460700,      BAR.SYNC.DEFER_BLOCKING 0x0,41,77,16384,,,,,,,,,
162,00007ee3 71460710,"      VOTEU.ANY UP1, P3",41,52,16384,,,,,,,,,
163,00007ee3 71460720,"@UP1  UIADD3 UR28, UR25, 0x10000, URZ",41,7,16384,,,,,,,,,
164,00007ee3 71460730,"@UP1  UIADD3 UR29, UR25, 0x1c028, URZ",41,4,16384,,,,,,,,,
165,00007ee3 71460740,"@UP1  UMOV UR30, URZ",41,1,16384,,,,,,,,,
166,00007ee3 71460750,"@!UP2 SYNCS.EXCH.64 URZ, [UR25+0x1c030], UR4",41,1,16384,,,,,,,,,
167,00007ee3 71460760,"      VOTEU.ANY UP2, P2",41,2,16384,,,,,,,,,
168,00007ee3 71460770,"@UP0  UIADD3 UR4, UR25, 0x4000, URZ",41,22,16384,,,,,,,,,
169,00007ee3 71460780,"@UP0  UIADD3 UR5, UR25, 0x1c008, URZ",41,7,16384,,,,,,,,,
170,00007ee3 71460790,"@P5   SYNCS.ARRIVE.TRANS64 RZ, [UR25+0x1c000], R4",41,39,16384,,,,,,,,,
171,00007ee3 714607a0,      MEMBAR.ALL.CTA,41,0,16384,,,,,,,,,
172,00007ee3 714607b0,      FENCE.VIEW.ASYNC.S,41,13,16384,,,,,,,,,
173,00007ee3 714607c0,"      VOTEU.ANY UP0, P3",41,54,16384,,,,,,,,,
174,00007ee3 714607d0,      BAR.SYNC.DEFER_BLOCKING 0x0,41,1,16384,,,,,,,,,
175,00007ee3 714607e0,"@UP4  UTMALDG.2D [UR8], [UR14]",41,52,16384,"Global, Shared",,,,,,,,
176,00007ee3 714607f0,"@P5   SYNCS.ARRIVE.TRANS64 RZ, [UR25+0x1c020], R4",41,2,16384,,,,,,,,,
177,00007ee3 71460800,      BAR.SYNC.DEFER_BLOCKING 0x0,41,3,16384,,,,,,,,,
178,00007ee3 71460810,"@P6   MOV R4, 0x4000",41,21,16384,,,,,,,,,
179,00007ee3 71460820,"@UP6  UTMALDG.2D [UR16], [UR20]",41,37,16384,"Global, Shared",,,,,,,,
180,00007ee3 71460830,"@P6   SYNCS.ARRIVE.TRANS64 RZ, [UR25+0x1c008], R4",41,0,16384,,,,,,,,,
181,00007ee3 71460840,      BAR.SYNC.DEFER_BLOCKING 0x0,41,3,16384,,,,,,,,,
182,00007ee3 71460850,"@UP2  UTMALDG.2D [UR4], [UR22]",41,57,16384,"Global, Shared",,,,,,,,
183,00007ee3 71460860,"@P6   SYNCS.ARRIVE.TRANS64 RZ, [UR25+0x1c028], R4",41,5,16384,,,,,,,,,
184,00007ee3 71460870,      BAR.SYNC.DEFER_BLOCKING 0x0,40,3,16384,,,,,,,,,
185,00007ee3 71460880,"      MOV R4, 0x3f800000",41,17,16384,,,,,,,,,
186,00007ee3 71460890,"      UMOV UR4, URZ",41,147,16384,,,,,,,,,
187,00007ee3 714608a0,"@UP0  UTMALDG.2D [UR28], [UR36]",41,3,16384,"Global, Shared",,,,,,,,
188,00007ee3 714608b0,"      UISETP.GE.AND UP0, UPT, UR13, 0x1, UPT",41,4,16384,,,,,,,,,
189,00007ee3 714608c0,"      PLOP3.LUT P0, PT, PT, PT, UP0, 0x80, 0x0",41,17,16384,,,,,,,,,
190,00007ee3 714608d0,"      ULDC.64 UR28, c[0x0][0x208]",41,305,16384,,,,,,,,,
191,00007ee3 714608e0,@!P0  BRA 0x7ee371462740,41,14,16384,,,,,,,,,
192,00007ee3 714608f0,"      LDC R6, c[0x0][0x210]",6,13,16384,,,,,,,,,
193,00007ee3 71460900,"      SHF.R.U32.HI R4, RZ, 0x5, R0",7,1,16384,,,,,,,,,
194,00007ee3 71460910,"      IMAD.MOV.U32 R8, RZ, RZ, -0x800000",8,1,16384,,,,,,,,,
195,00007ee3 71460920,"      MOV R9, 0xff800000",9,2,16384,,,,,,,,,
196,00007ee3 71460930,"      IMAD.MOV.U32 R5, RZ, RZ, 0x3f800000",10,0,16384,,,,,,,,,
197,00007ee3 71460940,"      R2UR UR30, R4",10,2,16384,,,,,,,,,
198,00007ee3 71460950,"      CS2R R88, SRZ",11,1,16384,,,,,,,,,
199,00007ee3 71460960,"      MOV R4, 0x3f800000",12,5,16384,,,,,,,,,
200,00007ee3 71460970,"      CS2R R90, SRZ",14,4,16384,,,,,,,,,
201,00007ee3 71460980,"      CS2R R92, SRZ",16,2,16384,,,,,,,,,
202,00007ee3 71460990,"      CS2R R94, SRZ",18,1,16384,,,,,,,,,
203,00007ee3 714609a0,"      CS2R R96, SRZ",20,2,16384,,,,,,,,,
204,00007ee3 714609b0,"      CS2R R98, SRZ",22,5,16384,,,,,,,,,
205,00007ee3 714609c0,"      CS2R R100, SRZ",24,5,16384,,,,,,,,,
206,00007ee3 714609d0,"      CS2R R102, SRZ",26,1,16384,,,,,,,,,
207,00007ee3 714609e0,"      CS2R R104, SRZ",28,3,16384,,,,,,,,,
208,00007ee3 714609f0,"      CS2R R106, SRZ",30,3,16384,,,,,,,,,
209,00007ee3 71460a00,"      CS2R R108, SRZ",32,2,16384,,,,,,,,,
210,00007ee3 71460a10,"      CS2R R110, SRZ",34,2,16384,,,,,,,,,
211,00007ee3 71460a20,"      CS2R R112, SRZ",36,3,16384,,,,,,,,,
212,00007ee3 71460a30,"      CS2R R114, SRZ",38,1,16384,,,,,,,,,
213,00007ee3 71460a40,"      CS2R R116, SRZ",40,6,16384,,,,,,,,,
214,00007ee3 71460a50,"      CS2R R118, SRZ",42,7,16384,,,,,,,,,
215,00007ee3 71460a60,"      UIADD3 UR8, UR13, -0x100, URZ",42,0,16384,,,,,,,,,
216,00007ee3 71460a70,"      FMUL R6, R6, 1.4426950216293334961",42,7,16384,,,,,,,,,
217,00007ee3 71460a80,"      UIADD3 UR26, UR11, 0x100, URZ",42,1,16384,,,,,,,,,
218,00007ee3 71460a90,"      UMOV UR9, 0x1",42,2,16384,,,,,,,,,
219,00007ee3 71460aa0,"      UMOV UR10, 0xffffffff",42,4,16384,,,,,,,,,
220,00007ee3 71460ab0,"      UMOV UR5, URZ",42,2,16384,,,,,,,,,
221,00007ee3 71460ac0,"      UIADD3 UR10, UR10, 0x1, URZ",42,4746,2097152,,,,,,,,,
222,00007ee3 71460ad0,"      UMOV UR17, 0x40000040",42,245,2097152,,,,,,,,,
223,00007ee3 71460ae0,"      UMOV UR19, 0x40000040",42,268,2097152,,,,,,,,,
224,00007ee3 71460af0,"      UISETP.GT.AND UP0, UPT, UR10, 0x2, UPT",42,1593,2097152,,,,,,,,,
225,00007ee3 71460b00,"      USEL UR6, URZ, 0x1, !UP0",42,2833,2097152,,,,,,,,,
226,00007ee3 71460b10,"      USEL UR10, UR10, URZ, !UP0",42,498,2097152,,,,,,,,,
227,00007ee3 71460b20,"      ULOP3.LUT UR4, UR4, UR6, URZ, 0x3c, !UPT",42,809,2097152,,,,,,,,,
228,00007ee3 71460b30,"      ULEA UR14, UR10, UR25, 0x3",42,521,2097152,,,,,,,,,
229,00007ee3 71460b40,"      USHF.L.U32 UR6, UR4, 0x1f, URZ",42,515,2097152,,,,,,,,,
230,00007ee3 71460b50,"      ULEA UR13, UR10, UR25, 0xe",42,491,2097152,,,,,,,,,
231,00007ee3 71460b60,"      IMAD.U32 R7, RZ, RZ, UR6",43,993,2097152,,,,,,,,,
232,00007ee3 71460b70,"      USHF.L.U32 UR6, UR30, 0x7, URZ",43,234,2097152,,,,,,,,,
233,00007ee3 71460b80,"      USHF.R.U32.HI UR18, URZ, 0x4, UR13",43,521,2097152,,,,,,,,,
234,00007ee3 71460b90,"      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [UR14+0x1c000], R7",43,235,2097152,,,,,,,,,
235,00007ee3 71460ba0,"      ULOP3.LUT UR6, UR6, 0x200, URZ, 0xc0, !UPT",43,380,2097152,,,,,,,,,
236,00007ee3 71460bb0,"      USGXT.U32 UR18, UR18, 0xe",43,551,2097152,,,,,,,,,
237,00007ee3 71460bc0,"      ULEA.HI UR6, UR24, UR6, URZ, 0x1c",43,537,2097152,,,,,,,,,
238,00007ee3 71460bd0,"      ULOP3.LUT UR16, UR6, 0x3fff, URZ, 0xc0, !UPT",43,2193,2097152,,,,,,,,,
239,00007ee3 71460be0,@!P0  BRA 0x7ee3714639b0,43,6689,2097152,,,,,,,,,
240,00007ee3 71460bf0,      WARPGROUP.ARRIVE,43,2809,2097152,,,,,,,,,
241,00007ee3 71460c00,"      UMOV UR6, URZ",43,245,2097152,,,,,,,,,
242,00007ee3 71460c10,"      UMOV UR7, URZ",43,250,2097152,,,,,,,,,
243,00007ee3 71460c20,"      HGMMA.64x128x16.F32 R24, gdesc[UR16], RZ, !UPT",107,3632,2097152,Shared,Load,,0,,,,,
244,00007ee3 71460c30,"      UIADD3 UR16, UP0, UR16, 0x2, URZ",107,266,2097152,,,,,,,,,
245,00007ee3 71460c40,"      UIADD3 UR18, UP1, UR18, 0x2, URZ",107,562,2097152,,,,,,,,,
246,00007ee3 71460c50,"      UIADD3.X UR17, UR6, 0x40000040, URZ, UP0, !UPT",107,519,2097152,,,,,,,,,
247,00007ee3 71460c60,"      UIADD3.X UR19, UR7, 0x40000040, URZ, UP1, !UPT",107,540,2097152,,,,,,,,,
248,00007ee3 71460c70,"      UIADD3.64 UR20, UR16, 0x2, URZ",107,516,2097152,,,,,,,,,
249,00007ee3 71460c80,"      UIADD3.64 UR22, UR18, 0x2, URZ",107,634,2097152,,,,,,,,,
250,00007ee3 71460c90,"      HGMMA.64x128x16.F32 R24, gdesc[UR16], R24",107,1403,2097152,Shared,Load,,0,,,,,
251,00007ee3 71460ca0,"      UIADD3.64 UR16, UR16, 0x4, URZ",107,252,2097152,,,,,,,,,
252,00007ee3 71460cb0,"      UIADD3.64 UR18, UR18, 0x4, URZ",107,541,2097152,,,,,,,,,
253,00007ee3 71460cc0,"      HGMMA.64x128x16.F32 R24, gdesc[UR20], R24",107,2544,2097152,Shared,Load,,0,,,,,
