#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_fwd_kernel
207,00007ef1 797e40e0,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R10.64], [R242+0x5800]",19,5,8192,"Global, Shared","Load, Store",128,0,0,,,,
208,00007ef1 797e40f0,"      IADD3.X R7, R11, UR15, RZ, P0, !PT",19,0,8192,,,,,,,,,
209,00007ef1 797e4100,"      IMAD R0, R15, UR11, R0",18,1,8192,,,,,,,,,
210,00007ef1 797e4110,"      IADD3 R4, P0, R6, UR14, RZ",19,2,8192,,,,,,,,,
211,00007ef1 797e4120,"      STL.64 [R1+0x48], R18",19,1,8192,Local,Store,64,,,,,,
212,00007ef1 797e4130,"      IADD3.X R5, R7, UR15, RZ, P0, !PT",20,7,8192,,,,,,,,,
213,00007ef1 797e4140,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R6.64], [R242+0x6000]",20,2,8192,"Global, Shared","Load, Store",128,0,0,,,,
214,00007ef1 797e4150,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R4.64], [R242+0x6800]",18,10,8192,"Global, Shared","Load, Store",128,0,0,,,,
215,00007ef1 797e4160,"      IADD3 R2, P0, R4, UR14, RZ",19,3,8192,,,,,,,,,
216,00007ef1 797e4170,"      IADD3.X R3, R5, UR15, RZ, P0, !PT",19,5,8192,,,,,,,,,
217,00007ef1 797e4180,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R2.64], [R242+0x7000]",18,14,8192,"Global, Shared","Load, Store",128,0,0,,,,
218,00007ef1 797e4190,"      IADD3 R6, P0, R2, UR14, RZ",19,47,8192,,,,,,,,,
219,00007ef1 797e41a0,"      IADD3.X R7, R3, UR15, RZ, P0, !PT",19,7,8192,,,,,,,,,
220,00007ef1 797e41b0,"      IMAD.WIDE.U32 R4, R15, UR10, RZ",20,12,8192,,,,,,,,,
221,00007ef1 797e41c0,"      LDGSTS.E.BYPASS.LTC128B.128 desc[UR16][R6.64], [R242+0x7800]",19,10,8192,"Global, Shared","Load, Store",128,0,0,,,,
222,00007ef1 797e41d0,      LDGDEPBAR,17,12,8192,,,,,,,,,
223,00007ef1 797e41e0,"      IMAD.SHL.U32 R3, R128, 0x40, RZ",18,12,8192,,,,,,,,,
224,00007ef1 797e41f0,"      IMAD.IADD R2, R5, 0x1, R0",19,2,8192,,,,,,,,,
225,00007ef1 797e4200,"      IMAD.SHL.U32 R5, R129, 0x40, RZ",18,1,8192,,,,,,,,,
226,00007ef1 797e4210,"      LOP3.LUT R0, R3, 0x1c0, RZ, 0xc0, !PT",19,0,8192,,,,,,,,,
227,00007ef1 797e4220,"      LOP3.LUT R8, R0, 0x8, R23, 0xf8, !PT",19,3,8192,,,,,,,,,
228,00007ef1 797e4230,"      SHF.R.U32.HI R3, RZ, 0x3, R0",19,2,8192,,,,,,,,,
229,00007ef1 797e4240,"      LOP3.LUT R0, R5, 0x1c0, RZ, 0xc0, !PT",19,2,8192,,,,,,,,,
230,00007ef1 797e4250,"      LOP3.LUT R8, R8, R3, RZ, 0x3c, !PT",18,2,8192,,,,,,,,,
231,00007ef1 797e4260,"      IMAD.IADD R7, R19, 0x1, R14",18,22,8192,,,,,,,,,
